book_name,book_description,book_author,category_name,book_image,book_cost,book_dislikes
The Private Memoir,"The Private Memoir charts a singular life spent navigating two continents, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Yuki Kapoor,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Private%20Memoir&font=roboto,303,0
The Private Journey,"The Private Journey charts a singular life spent navigating two continents, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",William Kapoor,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Private%20Journey&font=roboto,810,0
Memoir of an Uncertain Career,"Memoir of an Uncertain Career charts a singular life spent navigating an uncertain career, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Meera Nakamura,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Memoir%20of%20an%20Uncertain%20Career&font=roboto,684,0
Ascent of Two Continents,"Ascent of Two Continents charts a singular life spent navigating two continents, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Stephanie Kensington,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Ascent%20of%20Two%20Continents&font=roboto,495,0
The Ordinary Journey,"The Ordinary Journey charts a singular life spent navigating two continents, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Richard Petrov,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Ordinary%20Journey&font=roboto,843,0
Path of an Uncertain Career,"Path of an Uncertain Career charts a singular life spent navigating an uncertain career, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Thomas Rossi,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Path%20of%20an%20Uncertain%20Career&font=roboto,874,0
The Unlikely Voice,"The Unlikely Voice charts a singular life spent navigating two continents, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Thomas Nakamura,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Unlikely%20Voice&font=roboto,244,0
Ordinary Life,"Ordinary Life charts a singular life spent navigating two continents, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Michelle Marsh,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Ordinary%20Life&font=roboto,368,0
The Memoir of the Public Eye,"The Memoir of the Public Eye charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Sarah Whitfield,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Memoir%20of%20the%20Public%20Eye&font=roboto,228,0
The Life of Two Continents,"The Life of Two Continents charts a singular life spent navigating two continents, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Thomas Rossi,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Life%20of%20Two%20Continents&font=roboto,534,0
Portrait of a Life of Reinvention,"Portrait of a Life of Reinvention charts a singular life spent navigating a life of reinvention, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Nancy Delacroix,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Portrait%20of%20a%20Life%20of%20Reinvention&font=roboto,193,0
Ordinary Memoir,"Ordinary Memoir charts a singular life spent navigating an uncertain career, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Joshua Delacroix,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Ordinary%20Memoir&font=roboto,388,0
Legacy of the Public Eye,"Legacy of the Public Eye charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Deborah Andersen,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Legacy%20of%20the%20Public%20Eye&font=roboto,600,0
Unlikely Voice,"Unlikely Voice charts a singular life spent navigating a life of reinvention, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Noah Kensington,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Unlikely%20Voice&font=roboto,314,0
Path of a Small Town,"Path of a Small Town charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Hiroshi Blackwood,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Path%20of%20a%20Small%20Town&font=roboto,716,0
The Restless Path,"The Restless Path charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Daniel Vance,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Restless%20Path&font=roboto,609,0
The Extraordinary Ascent,"The Extraordinary Ascent charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Stephanie Foster,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Extraordinary%20Ascent&font=roboto,532,0
Ascent of a Small Town,"Ascent of a Small Town charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Brian Whitfield,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Ascent%20of%20a%20Small%20Town&font=roboto,289,0
Private Life,"Private Life charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Robert Harrow,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Private%20Life&font=roboto,369,0
Journey of Two Continents,"Journey of Two Continents charts a singular life spent navigating two continents, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Steven Ashford,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Journey%20of%20Two%20Continents&font=roboto,273,0
The Relentless Voice,"The Relentless Voice charts a singular life spent navigating a life of reinvention, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Divya Reed,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Relentless%20Voice&font=roboto,262,0
Unfinished Memoir,"Unfinished Memoir charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Donna Marlow,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Unfinished%20Memoir&font=roboto,150,0
The Voice of the Public Eye,"The Voice of the Public Eye charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",William Nakamura,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Voice%20of%20the%20Public%20Eye&font=roboto,518,0
The Unfinished Voice,"The Unfinished Voice charts a singular life spent navigating an uncertain career, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Jennifer Winters,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Unfinished%20Voice&font=roboto,531,0
The Ascent of a Small Town,"The Ascent of a Small Town charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",George Sutton,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Ascent%20of%20a%20Small%20Town&font=roboto,899,0
The Ordinary Portrait,"The Ordinary Portrait charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Melissa Kobayashi,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Ordinary%20Portrait&font=roboto,495,0
Legacy of a Small Town,"Legacy of a Small Town charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Donna Doyle,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Legacy%20of%20a%20Small%20Town&font=roboto,193,0
Private Path,"Private Path charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Anthony Redwood,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Private%20Path&font=roboto,514,0
The Ordinary Path,"The Ordinary Path charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Deborah Marlow,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Ordinary%20Path&font=roboto,558,0
Extraordinary Ascent,"Extraordinary Ascent charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Mateo Iyer,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Extraordinary%20Ascent&font=roboto,525,0
The Voice of a Small Town,"The Voice of a Small Town charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Vikram Rossi,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Voice%20of%20a%20Small%20Town&font=roboto,333,0
The Journey of a Small Town,"The Journey of a Small Town charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Carol Redwood,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Journey%20of%20a%20Small%20Town&font=roboto,462,0
Extraordinary Portrait,"Extraordinary Portrait charts a singular life spent navigating an uncertain career, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",George Delacroix,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Extraordinary%20Portrait&font=roboto,192,0
The Path of a Small Town,"The Path of a Small Town charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Elizabeth Hartley,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Path%20of%20a%20Small%20Town&font=roboto,521,0
Unfinished Portrait,"Unfinished Portrait charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Steven Blackwood,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Unfinished%20Portrait&font=roboto,519,0
The Legacy of a Small Town,"The Legacy of a Small Town charts a singular life spent navigating a small town, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Sarah Nakamura,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Legacy%20of%20a%20Small%20Town&font=roboto,524,0
Ordinary Path,"Ordinary Path charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Joseph Bennett,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Ordinary%20Path&font=roboto,339,0
Extraordinary Journey,"Extraordinary Journey charts a singular life spent navigating two continents, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Kimberly Delacroix,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Extraordinary%20Journey&font=roboto,368,0
The Unlikely Path,"The Unlikely Path charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Matthew Blackwood,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Unlikely%20Path&font=roboto,669,0
Memoir of the Public Eye,"Memoir of the Public Eye charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Steven Iyer,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Memoir%20of%20the%20Public%20Eye&font=roboto,175,0
The Legacy of a Life of Reinvention,"The Legacy of a Life of Reinvention charts a singular life spent navigating a life of reinvention, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Thomas O'Connell,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Legacy%20of%20a%20Life%20of%20Reinvention&font=roboto,237,0
The Legacy of an Uncertain Career,"The Legacy of an Uncertain Career charts a singular life spent navigating an uncertain career, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Chiara Thorne,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Legacy%20of%20an%20Uncertain%20Career&font=roboto,280,0
Voice of a Life of Reinvention,"Voice of a Life of Reinvention charts a singular life spent navigating a life of reinvention, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Linda Grant,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Voice%20of%20a%20Life%20of%20Reinvention&font=roboto,679,0
Portrait of the Public Eye,"Portrait of the Public Eye charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Carol Lockhart,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=Portrait%20of%20the%20Public%20Eye&font=roboto,503,0
The Path of the Public Eye,"The Path of the Public Eye charts a singular life spent navigating the public eye, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Emily Sinclair,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Path%20of%20the%20Public%20Eye&font=roboto,789,0
The Portrait of a Life of Reinvention,"The Portrait of a Life of Reinvention charts a singular life spent navigating a life of reinvention, offering an honest look at the ambitions, failures, and quiet decisions that defined it.",Karen Ellison,Biography,https://placehold.co/400x600/3d405b/ffffff.png?text=The%20Portrait%20of%20a%20Life%20of%20Reinvention&font=roboto,823,0
The Habits of Daily Life,"The Habits of Daily Life offers a grounded, practical framework for building better habits in daily life, without relying on shortcuts or unrealistic promises.",Jennifer Andersen,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Habits%20of%20Daily%20Life&font=roboto,420,0
Habits of Everyday Routines,"Habits of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Oliver Redwood,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Habits%20of%20Everyday%20Routines&font=roboto,806,0
The Discipline of Everyday Routines,"The Discipline of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Kenneth Osei,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Discipline%20of%20Everyday%20Routines&font=roboto,223,0
The Simple Balance,"The Simple Balance offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Hiroshi Osei,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Simple%20Balance&font=roboto,357,0
The Clarity of Uncertain Times,"The Clarity of Uncertain Times offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",George Hartley,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Clarity%20of%20Uncertain%20Times&font=roboto,282,0
The Clarity of a Distracted World,"The Clarity of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Aditya Grant,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Clarity%20of%20a%20Distracted%20World&font=roboto,422,0
Lasting Focus,"Lasting Focus offers a grounded, practical framework for building better habits in daily life, without relying on shortcuts or unrealistic promises.",Michael Redwood,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Lasting%20Focus&font=roboto,542,0
The Focus of Everyday Routines,"The Focus of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Lucas Osei,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Focus%20of%20Everyday%20Routines&font=roboto,659,0
Steady Discipline,"Steady Discipline offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Melissa Morgan,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Steady%20Discipline&font=roboto,200,0
The Balance of Uncertain Times,"The Balance of Uncertain Times offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Freya Carter,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Balance%20of%20Uncertain%20Times&font=roboto,259,0
Simple Change,"Simple Change offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Arjun Blackwood,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Simple%20Change&font=roboto,195,0
Small Discipline,"Small Discipline offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Joshua Reed,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Small%20Discipline&font=roboto,544,0
Honest Choices,"Honest Choices offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Richard Hartley,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Honest%20Choices&font=roboto,531,0
The Focus of a Distracted World,"The Focus of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Lucas Hartley,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Focus%20of%20a%20Distracted%20World&font=roboto,661,0
The Small Habits,"The Small Habits offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Brian Sharma,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Small%20Habits&font=roboto,680,0
Simple Focus,"Simple Focus offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Kevin Ellison,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Simple%20Focus&font=roboto,551,0
Small Clarity,"Small Clarity offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Joseph Kensington,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Small%20Clarity&font=roboto,746,0
Balance of a Distracted World,"Balance of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Noah O'Connell,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Balance%20of%20a%20Distracted%20World&font=roboto,538,0
Habits of Daily Life,"Habits of Daily Life offers a grounded, practical framework for building better habits in daily life, without relying on shortcuts or unrealistic promises.",Anthony Bennett,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Habits%20of%20Daily%20Life&font=roboto,600,0
Balance of Daily Life,"Balance of Daily Life offers a grounded, practical framework for building better habits in daily life, without relying on shortcuts or unrealistic promises.",Sarah Nakamura,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Balance%20of%20Daily%20Life&font=roboto,361,0
The Growth of Uncertain Times,"The Growth of Uncertain Times offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Matthew Osei,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Growth%20of%20Uncertain%20Times&font=roboto,694,0
The Change of Everyday Routines,"The Change of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Anthony Sutton,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Change%20of%20Everyday%20Routines&font=roboto,434,0
The Change of Uncertain Times,"The Change of Uncertain Times offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Mark Iyer,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Change%20of%20Uncertain%20Times&font=roboto,473,0
Quiet Change,"Quiet Change offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Jessica Andersen,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Quiet%20Change&font=roboto,841,0
Practical Clarity,"Practical Clarity offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Donna Hayes,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Practical%20Clarity&font=roboto,443,0
The Quiet Balance,"The Quiet Balance offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Hiroshi Pierce,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Quiet%20Balance&font=roboto,355,0
The Focus of Daily Life,"The Focus of Daily Life offers a grounded, practical framework for building better habits in daily life, without relying on shortcuts or unrealistic promises.",Steven Sutton,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Focus%20of%20Daily%20Life&font=roboto,200,0
Quiet Balance,"Quiet Balance offers a grounded, practical framework for building better habits in daily life, without relying on shortcuts or unrealistic promises.",Sarah Carter,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Quiet%20Balance&font=roboto,712,0
Balance of Everyday Routines,"Balance of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Betty Redwood,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Balance%20of%20Everyday%20Routines&font=roboto,477,0
The Choices of a Distracted World,"The Choices of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Freya Hayes,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Choices%20of%20a%20Distracted%20World&font=roboto,328,0
Simple Habits,"Simple Habits offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Mateo Marsh,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Simple%20Habits&font=roboto,445,0
The Small Change,"The Small Change offers a grounded, practical framework for building better habits in daily life, without relying on shortcuts or unrealistic promises.",Brian Redwood,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Small%20Change&font=roboto,614,0
Simple Balance,"Simple Balance offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Anthony Grant,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Simple%20Balance&font=roboto,487,0
Change of a Distracted World,"Change of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Mary Merrick,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Change%20of%20a%20Distracted%20World&font=roboto,451,0
Growth of Everyday Routines,"Growth of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Lucas Callahan,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Growth%20of%20Everyday%20Routines&font=roboto,237,0
Deliberate Focus,"Deliberate Focus offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Hiroshi Callahan,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Deliberate%20Focus&font=roboto,403,0
The Honest Growth,"The Honest Growth offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Rahul Vance,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Honest%20Growth&font=roboto,486,0
Choices of Everyday Routines,"Choices of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Michelle Ellison,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Choices%20of%20Everyday%20Routines&font=roboto,564,0
Focus of Everyday Routines,"Focus of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Karen Osei,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Focus%20of%20Everyday%20Routines&font=roboto,769,0
The Balance of a Distracted World,"The Balance of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Ashley Rossi,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Balance%20of%20a%20Distracted%20World&font=roboto,232,0
Quiet Choices,"Quiet Choices offers a grounded, practical framework for building better habits in daily life, without relying on shortcuts or unrealistic promises.",Linda Petrov,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Quiet%20Choices&font=roboto,666,0
Focus of Uncertain Times,"Focus of Uncertain Times offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Chiara Delacroix,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Focus%20of%20Uncertain%20Times&font=roboto,268,0
The Steady Focus,"The Steady Focus offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Divya Andersen,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Steady%20Focus&font=roboto,208,0
Honest Habits,"Honest Habits offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Paul Carter,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Honest%20Habits&font=roboto,372,0
The Small Growth,"The Small Growth offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",David Kobayashi,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Small%20Growth&font=roboto,210,0
The Steady Habits,"The Steady Habits offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Kavya Marsh,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Steady%20Habits&font=roboto,287,0
Quiet Growth,"Quiet Growth offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Ronald Winters,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Quiet%20Growth&font=roboto,231,0
Choices of a Distracted World,"Choices of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Freya Hartley,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Choices%20of%20a%20Distracted%20World&font=roboto,690,0
The Growth of Everyday Routines,"The Growth of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Sandra Sutton,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Growth%20of%20Everyday%20Routines&font=roboto,620,0
The Change of a Distracted World,"The Change of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Joseph Hayes,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Change%20of%20a%20Distracted%20World&font=roboto,825,0
The Deliberate Habits,"The Deliberate Habits offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Michael Sutton,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Deliberate%20Habits&font=roboto,194,0
The Simple Change,"The Simple Change offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Kevin Andersen,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Simple%20Change&font=roboto,761,0
Change of Uncertain Times,"Change of Uncertain Times offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Linda Petrov,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Change%20of%20Uncertain%20Times&font=roboto,754,0
The Clarity of Everyday Routines,"The Clarity of Everyday Routines offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Kavya Whitfield,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Clarity%20of%20Everyday%20Routines&font=roboto,456,0
The Practical Growth,"The Practical Growth offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Stephanie Sutton,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Practical%20Growth&font=roboto,410,0
The Discipline of Daily Life,"The Discipline of Daily Life offers a grounded, practical framework for building better habits in daily life, without relying on shortcuts or unrealistic promises.",Andrew Winters,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Discipline%20of%20Daily%20Life&font=roboto,838,0
The Deliberate Discipline,"The Deliberate Discipline offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Hiroshi Pierce,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Deliberate%20Discipline&font=roboto,489,0
The Discipline of a Distracted World,"The Discipline of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Jessica Sharma,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Discipline%20of%20a%20Distracted%20World&font=roboto,397,0
Discipline of Uncertain Times,"Discipline of Uncertain Times offers a grounded, practical framework for building better habits in uncertain times, without relying on shortcuts or unrealistic promises.",Joshua Winters,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Discipline%20of%20Uncertain%20Times&font=roboto,626,0
Steady Choices,"Steady Choices offers a grounded, practical framework for building better habits in everyday routines, without relying on shortcuts or unrealistic promises.",Kevin Pierce,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Steady%20Choices&font=roboto,528,0
The Habits of a Distracted World,"The Habits of a Distracted World offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Charles Bennett,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=The%20Habits%20of%20a%20Distracted%20World&font=roboto,416,0
Honest Focus,"Honest Focus offers a grounded, practical framework for building better habits in a distracted world, without relying on shortcuts or unrealistic promises.",Brian Lockhart,Self-Help,https://placehold.co/400x600/588157/ffffff.png?text=Honest%20Focus&font=roboto,537,0
